chapter	kind	path	ext	basename
1	data	_autofix_sandbox/20251105T145604Z/attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_P_derivative_initial.csv.lock.json	.json	01_P_derivative_initial.csv.lock.json
1	data	_autofix_sandbox/20251105T145604Z/attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_P_derivative_optimized.csv.lock.json	.json	01_P_derivative_optimized.csv.lock.json
1	data	_autofix_sandbox/20251105T145604Z/attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_P_vs_T.dat.lock.json	.json	01_P_vs_T.dat.lock.json
1	data	_autofix_sandbox/20251105T145604Z/attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_dimensionless_invariants.csv.lock.json	.json	01_dimensionless_invariants.csv.lock.json
1	data	_autofix_sandbox/20251105T145604Z/attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_initial_grid_data.dat.lock.json	.json	01_initial_grid_data.dat.lock.json
1	data	_autofix_sandbox/20251105T145604Z/attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_optimized_data.csv.lock.json	.json	01_optimized_data.csv.lock.json
1	data	_autofix_sandbox/20251105T145604Z/attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_optimized_data_and_derivatives.csv.lock.json	.json	01_optimized_data_and_derivatives.csv.lock.json
1	data	_autofix_sandbox/20251105T145604Z/attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_optimized_grid_data.dat.lock.json	.json	01_optimized_grid_data.dat.lock.json
1	data	_autofix_sandbox/20251105T145604Z/attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_relative_error_timeline.csv.lock.json	.json	01_relative_error_timeline.csv.lock.json
1	data	_autofix_sandbox/20251105T145604Z/attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_timeline_milestones.csv.lock.json	.json	01_timeline_milestones.csv.lock.json
1	data	attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_P_derivative_initial.csv.lock.json	.json	01_P_derivative_initial.csv.lock.json
1	data	attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_P_derivative_optimized.csv.lock.json	.json	01_P_derivative_optimized.csv.lock.json
1	data	attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_P_vs_T.dat.lock.json	.json	01_P_vs_T.dat.lock.json
1	data	attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_dimensionless_invariants.csv.lock.json	.json	01_dimensionless_invariants.csv.lock.json
1	data	attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_initial_grid_data.dat.lock.json	.json	01_initial_grid_data.dat.lock.json
1	data	attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_optimized_data.csv.lock.json	.json	01_optimized_data.csv.lock.json
1	data	attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_optimized_data_and_derivatives.csv.lock.json	.json	01_optimized_data_and_derivatives.csv.lock.json
1	data	attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_optimized_grid_data.dat.lock.json	.json	01_optimized_grid_data.dat.lock.json
1	data	attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_relative_error_timeline.csv.lock.json	.json	01_relative_error_timeline.csv.lock.json
1	data	attic/cleanup_20251029T134449Z/_attic_untracked/suffix_staging/20251028T203652Z/assets/zz-data/chapter01/01_timeline_milestones.csv.lock.json	.json	01_timeline_milestones.csv.lock.json
1	data	assets/zz-data/chapter01/01_P_derivative_initial.csv	.csv	01_P_derivative_initial.csv
1	data	assets/zz-data/chapter01/01_P_derivative_optimized.csv	.csv	01_P_derivative_optimized.csv
1	data	assets/zz-data/chapter01/01_P_vs_T.dat	.dat	01_P_vs_T.dat
1	data	assets/zz-data/chapter01/01_dimensionless_invariants.csv	.csv	01_dimensionless_invariants.csv
1	data	assets/zz-data/chapter01/01_initial_grid_data.dat	.dat	01_initial_grid_data.dat
1	data	assets/zz-data/chapter01/01_optimized_data.csv	.csv	01_optimized_data.csv
1	data	assets/zz-data/chapter01/01_optimized_data_and_derivatives.csv	.csv	01_optimized_data_and_derivatives.csv
1	data	assets/zz-data/chapter01/01_optimized_grid_data.dat	.dat	01_optimized_grid_data.dat
1	data	assets/zz-data/chapter01/01_relative_error_timeline.csv	.csv	01_relative_error_timeline.csv
1	data	assets/zz-data/chapter01/01_timeline_milestones.csv	.csv	01_timeline_milestones.csv
1	figures	assets/zz-figures/chapter01/01_fig_01_early_plateau.png	.png	01_fig_01_early_plateau.png
1	figures	assets/zz-figures/chapter01/01_fig_02_logistic_calibration.png	.png	01_fig_02_logistic_calibration.png
1	figures	assets/zz-figures/chapter01/01_fig_03_relative_error_timeline.png	.png	01_fig_03_relative_error_timeline.png
1	figures	assets/zz-figures/chapter01/01_fig_04_p_vs_t_evolution.png	.png	01_fig_04_p_vs_t_evolution.png
1	figures	assets/zz-figures/chapter01/01_fig_05_i1_vs_t.png	.png	01_fig_05_i1_vs_t.png
1	figures	assets/zz-figures/chapter01/01_fig_06_p_derivative_comparison.png	.png	01_fig_06_p_derivative_comparison.png
1	latex	01-introduction-applications/CHAPTER01_GUIDE.txt	.txt	CHAPTER01_GUIDE.txt
1	latex	01-introduction-applications/CHAPTER1_GUIDE.txt	.txt	CHAPTER1_GUIDE.txt
1	scripts	_attic_untracked/github_old/20251028T201526Z/scripts/chapter01/generate_data_chapter01.py.pass11b	.pass11b	generate_data_chapter01.py.pass11b
1	scripts	_attic_untracked/github_old/20251028T201526Z/scripts/chapter01/plot_fig01_early_plateau.py.pass11b	.pass11b	plot_fig01_early_plateau.py.pass11b
1	scripts	_attic_untracked/github_old/20251028T201526Z/scripts/chapter01/plot_fig02_logistic_calibration.py.pass11b	.pass11b	plot_fig02_logistic_calibration.py.pass11b
1	scripts	_attic_untracked/github_old/20251028T201526Z/scripts/chapter01/plot_fig03_relative_error_timeline.py.pass11b	.pass11b	plot_fig03_relative_error_timeline.py.pass11b
1	scripts	_attic_untracked/github_old/20251028T201526Z/scripts/chapter01/plot_fig04_P_vs_T_evolution.py.pass11b	.pass11b	plot_fig04_P_vs_T_evolution.py.pass11b
1	scripts	_attic_untracked/github_old/20251028T201526Z/scripts/chapter01/plot_fig05_I1_vs_T.py.pass11b	.pass11b	plot_fig05_I1_vs_T.py.pass11b
